Hugo_Symbol	Entrez_Gene_Id	GTEX-WYVS-1726-SM-3NMAY	GTEX-ZPIC-1126-SM-5BC7F	GTEX-ZC5H-2626-SM-5J2MG	GTEX-W5X1-2326-SM-3GIL6	GTEX-S341-1526-SM-4AD6K	GTEX-T6MO-0326-SM-32QOK	GTEX-Y5LM-1726-SM-4VDSX	GTEX-ZV6S-1826-SM-5NQ8D	GTEX-SE5C-2126-SM-4BRUJ	GTEX-S4UY-0726-SM-4AD6X	GTEX-12WSK-2226-SM-5GCO5	GTEX-ZYWO-2326-SM-5GZY4	GTEX-TMMY-0726-SM-33HBE	GTEX-14AS3-1626-SM-5S2OY	GTEX-YB5K-1626-SM-5IFIN	GTEX-145ME-1526-SM-5Q5F2	GTEX-WI4N-1426-SM-3LK7H	GTEX-XV7Q-2326-SM-4BRVZ	GTEX-TML8-1226-SM-32QON
MTHFR	4524	195.72	127.89	105.15	133.36	255	165.57	64.8	180.02	199.85	361.04	199.85	249.73	150.17	59.55	139.07	239.52	540.19	195.72	244.57
REG3G	130120	0.24	0.53	0	0	0.87	0	1.71	0	0	0.59	0.3	0	0	0	1.25	1.36	0.25	0.47	0
PEX14	5195	470.14	395.18	480.04	125.24	389.72	376.41	423.61	353.59	346.29	376.41	271.48	432.53	262.2	536.45	698.41	279.14	339.14	420.68	327.56
SMIM5	643008	35.5	6.52	31.67	9.34	10.55	5.59	21.63	3.41	5.87	17.64	10.31	2.43	5.68	9.34	6.11	2.53	6.21	5.11	42.41
MTRF1	9617	256.78	115.97	159.9	253.23	176.29	135.24	180.02	173.85	154.42	117.6	52.82	110.43	287.01	101.54	151.22	122.64	106.63	73.54	239.52
C7orf60	154743	255	144.01	273.37	368.65	147.06	202.66	209.84	94.67	79.45	114.36	283.05	145.02	320.8	115.16	84.63	127	208.38	111.99	173.85
CRX	1406	0	0	0	0	0	0	0.36	0	0	0.79	0	0	0	0	0	0	0	2.53	0
MXRA7	439921	1127.35	5076.84	1250.98	11345.82	5041.77	2133.97	3303	5076.84	4802.93	3280.18	9540.5	2976.74	2319.15	5791.62	3515.68	14163.58	6471.02	5366.37	5112.16
VNN1	8876	17.38	19.25	26.28	40.64	31	18.56	125.24	48.87	15.34	37.85	19.39	12.74	148.09	12.74	2.66	16.88	65.26	22.75	48.52
TRPV2	51393	120.94	190.34	159.9	267.73	107.38	112.77	108.9	343.89	283.05	127	185.11	299.25	177.53	279.14	191.67	221.86	281.09	301.33	273.37
ZNF644	84146	934.76	480.04	733.19	961.07	563.18	587.13	674.59	361.04	409.15	403.5	463.65	348.71	785.88	708.18	277.2	297.17	616.37	412	836.53
ANKRD36C	0	191.67	41.22	140.04	75.64	101.54	88.26	36.79	22.26	60.82	72.52	57.49	30.34	143.01	49.56	31	17.77	95.34	28.65	75.11
POLR2G	5436	1617	3124.78	2367.9	3039.3	1832.01	1199.98	3190.46	1883.54	1832.01	1369.04	2047	2835.7	1662.49	5479.15	1936.53	1745.2	2018.8	1378.57	2240.11
SIGLECL1	284369	0	0.99	0	0	0	0	0	0	0	0	0	1.62	0	0	0	0	0	0	0
PGLS	25796	974.5	1781.89	1225.22	567.1	1832.01	1407.55	2209.26	1250.98	1769.57	1709.26	1769.57	2816.11	1286.18	4704.07	1709.26	1037.29	1242.34	1605.83	743.43
MAPRE3	22924	320.8	866.07	624.99	251.48	665.29	753.83	406.31	490.14	463.65	791.35	241.19	466.88	551.56	397.93	642.59	830.75	808	2119.22	571.05
IRF7	3665	414.87	120.94	529.06	172.65	189.02	237.86	309.83	102.25	169.07	215.77	85.22	231.32	164.42	753.83	63.45	211.31	234.57	234.57	149.12
HBG2	3048	23.59	15.11	8.58	119.26	12.74	31	17.77	24.99	5.36	13.93	14.14	24.81	49.56	17.13	7.11	18.43	21.01	27.44	28.45
NPRL2	10641	583.07	368.65	733.19	500.46	470.14	366.09	341.51	206.94	403.5	417.77	226.54	343.89	514.56	775.05	423.61	212.78	295.11	371.22	435.55
NECAB2	54550	22.26	7.57	11.13	159.9	199.85	1.5	6.62	6.01	5.15	30.56	3.2	4.31	27.44	50.63	3.44	3.86	6.21	7.94	69.03
YY2	404281	54.72	36.01	19.97	33.54	29.27	24.99	16.51	15.8	11.21	31.22	13.72	23.93	23.08	12.64	21.63	9.93	21.94	22.26	27.64
PDCL2	132954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R1B	5519	647.07	1104.13	395.18	483.38	595.34	1037.29	651.58	2335.28	450.94	684.02	532.74	813.63	571.05	521.76	909.17	1662.49	674.59	2758.13	1008.9
CGB7	94027	19.11	1.69	15.22	2.56	9.06	8	25.91	1.28	1.46	7.28	1.99	2.63	9.41	15.91	5.73	0.67	5.96	8.71	4.94
ATMIN	23300	708.18	1216.75	616.37	753.83	872.1	995	1001.93	775.05	954.43	1331.57	967.76	753.83	1008.9	486.75	1225.22	1167.14	403.5	836.53	902.89
NUDC	10726	1073.91	1467.37	2178.83	1015.93	1709.26	941.27	3491.39	1561.89	2271.4	1242.34	2061.24	2520.38	1096.5	3419.52	1447.15	1127.35	1127.35	1605.83	1295.13
ARL14	80117	1.16	0	0	0	2.1	0	2.14	0	3.72	0	0	0	0	6.73	0	0	0	0	0
SEC61G	23480	2434.5	4972.34	2303.12	5479.15	2367.9	2935.74	5041.77	2915.45	4607.24	2047	3847.29	5995.9	2224.63	14262.1	2682.69	4268.94	6516.03	3540.14	3190.46
CCDC105	126402	0.38	0	0.19	0.39	0	0	0	0	0	0	0	0	0	1.06	0	0	0	0	0
RP11-944C7.1	0	0	1.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZGPAT	84619	329.84	214.27	463.65	73.03	753.83	358.54	283.05	246.28	460.44	223.41	147.06	283.05	273.37	318.57	229.72	204.07	307.69	457.25	327.56
ACSS1	84532	616.37	215.77	420.68	361.04	808	525.39	466.88	128.79	248	387.02	172.65	215.77	723.08	178.77	137.14	115.16	728.11	258.57	312
LAPTM5	7805	796.86	3639.7	2032.85	3349.13	1096.5	2997.45	4802.93	2835.7	1529.73	1183.45	1277.29	2047	2240.11	2351.53	543.96	1417.35	4010.71	2591.27	2956.17
OARD1	221443	1008.9	954.43	1159.07	1561.89	842.36	769.69	775.05	511	450.94	791.35	854.13	642.59	1151.06	825	579.04	669.92	612.11	426.57	902.89
MS4A4A	51338	297.17	1508.65	417.77	441.64	543.96	384.34	412	1369.04	329.84	273.37	738.29	703.28	1044.52	301.33	229.72	525.39	503.95	703.28	426.57
SLC22A18AS	5003	4.82	32.13	5.5	5.59	7.17	9.93	35.25	74.06	45.21	14.14	7.69	12.27	4.94	19.97	70.01	101.54	20.11	49.91	19.68
SLC6A19	340024	0	0	0	0	0	0	0	0.16	0.64	0.17	0.39	0.16	0	0	0	0.41	0.4	0.15	0
EXOC6B	23233	332.14	346.29	295.11	738.29	307.69	301.33	138.1	255	166.73	241.19	323.03	224.97	291.04	148.09	267.73	366.09	283.05	476.71	483.38
OR10H4	126541	0	0	0	0	0	0	0	0	0.61	1.39	0	0	0	0	0	0	0	0	0
SLC25A4	291	395.18	884.29	368.65	490.14	348.71	486.75	1073.91	389.72	1295.13	392.44	1628.26	753.83	309.83	1350.18	748.61	698.41	1001.93	490.14	633.73
WASF1	8936	241.19	273.37	237.86	540.19	307.69	135.24	281.09	379.04	176.29	194.36	656.11	417.77	860.08	69.03	301.33	57.89	244.57	161.02	56.28
SLC2A7	155184	0	0	0	0.66	0.91	0	1.48	0	0	0	0	0	0	0	0	0	2.46	0	0
MYLK2	85366	2.61	1.53	0.58	6.26	0	0.87	0.29	1.1	0	0	0.31	12.83	0.83	0.31	0	0.34	0.33	2.63	0.59
CORO2B	10391	84.63	152.28	98.04	208.38	432.53	129.69	212.78	514.56	688.78	54.72	249.73	66.18	253.23	64.8	476.71	115.97	199.85	78.89	132.44
BLM	641	39.22	25.72	17.64	24.46	19.68	85.22	85.82	26.1	104.42	46.18	38.95	117.6	68.07	6.78	22.43	16.63	14.78	6.41	41.52
RPS6KC1	26750	297.17	273.37	220.32	1183.45	271.48	258.57	214.27	256.78	244.57	251.48	255	242.88	289.02	101.54	232.94	279.14	134.3	267.73	246.28
MPI	4351	1313.23	511	1923.14	1066.48	1225.22	860.08	890.44	559.28	860.08	674.59	417.77	713.11	848.22	921.88	684.02	529.06	1199.98	1991	1259.69
FEZF1	389549	0	0	0	0	0	0	0	0	0	0	0	6.06	0.13	0	0	0	0	0.84	0
SLC24A1	9187	503.95	384.34	447.82	961.07	329.84	187.71	267.73	169.07	94.67	316.37	221.86	136.19	223.41	107.38	105.15	99.43	287.01	223.41	518.15
POTEE	445582	3.11	0	2.25	0	6.01	0	0	0	0	4.58	0	1.77	0	0	3.14	0	0	0	0
CDR2	1039	438.59	262.2	435.55	684.02	373.81	339.14	309.83	348.71	438.59	397.93	713.11	314.17	454.09	301.33	279.14	255	379.04	387.02	536.45
GDF15	9518	351.14	15.8	289.02	320.8	260.38	8.45	224.97	56.68	21.94	34.75	123.5	113.56	101.54	265.87	7.82	0.97	226.54	651.58	46.5
CARD18	59082	8.71	0	0	0	0	0	0	0	14.56	0	0	0	0	0	56.68	0	0	0	0
EXOSC9	5393	764.36	490.14	503.95	842.36	571.05	384.34	866.07	432.53	307.69	441.64	642.59	470.14	583.07	669.92	339.14	341.51	376.41	332.14	854.13
METTL2B	55798	343.89	587.13	371.22	497	346.29	466.88	264.03	361.04	769.69	587.13	267.73	463.65	260.38	373.81	432.53	426.57	264.03	591.22	518.15
UNC119B	84747	603.67	1096.5	454.09	780.44	563.18	1044.52	921.88	660.68	921.88	961.07	400.71	674.59	915.51	514.56	616.37	718.08	173.85	638.15	941.27
ZNF347	84671	193.01	113.56	176.29	341.51	189.02	153.34	63.45	102.97	37.32	187.71	84.63	76.71	152.28	108.9	65.26	115.97	105.15	107.38	363.56
C11orf96	387763	115.97	164.42	384.34	409.15	191.67	103.69	353.59	642.59	112.77	255	1340.84	934.76	236.21	620.67	127.89	229.72	1651	1088.92	438.59
NAP1L1	4673	7911.95	14361.31	10368.08	15392.14	7589.61	18819.27	16611.71	11909.94	15499.21	21026.65	16960.78	9808.75	21026.65	11664.82	11424.74	13033.07	9088.59	7803.01	10659.59
CPD	1362	497	713.11	738.29	1073.91	503.95	1233.75	497	1073.91	532.74	591.22	791.35	518.15	854.13	267.73	884.29	3665.02	723.08	1167.14	934.76
RIPK1	8737	470.14	559.28	339.14	529.06	674.59	563.18	656.11	647.07	490.14	642.59	490.14	476.71	743.43	199.85	483.38	1044.52	361.04	435.55	669.92
TIMM23	653252	854.13	1467.37	1001.93	1551.09	1250.98	1277.29	1467.37	1857.6	1870.53	967.76	1127.35	1651	1135.2	1936.53	2104.58	1844.76	1066.48	1529.73	1175.27
FPR1	2357	19.25	158.79	130.6	32.36	23.25	223.41	271.48	147.06	94.67	57.89	72.01	217.27	100.83	103.69	49.21	173.85	177.53	137.14	49.21
CTNNA3	29119	17.9	9.27	10.96	33.06	3.53	1.71	1.25	8.45	4.21	4.31	15.68	3.29	3.99	2.51	2.32	6.21	15.8	13.32	17.25
VPS41	27072	1096.5	1030.12	1051.79	1769.57	679.29	575.03	884.29	595.34	323.03	616.37	890.44	463.65	723.08	423.61	559.28	559.28	651.58	728.11	1111.82
TOMM40L	84134	126.12	171.45	169.07	164.42	239.52	248	159.9	265.87	387.02	140.04	150.17	490.14	185.11	281.09	368.65	211.31	215.77	500.46	265.87
XAGE1B	9503	15.11	0	0	0	3.76	98.73	0	0	0	17	0	0	3.2	0	0	0	8.06	0	0
NEUROD4	58158	0	0	0	0	0	0	0	0	0	9.63	0	0	0	0	0	0	0	0	2.51
UBE2J2	118424	860.08	954.43	769.69	363.56	1111.82	1059.11	1427.22	1208.34	1388.16	1199.98	961.07	1277.29	896.64	1733.13	1151.06	1081.39	642.59	1119.56	902.89
C4A	720	13586.57	366.09	7803.01	447.82	1806.78	1427.22	5441.3	325.29	6250.56	2777.33	1295.13	1963.57	5954.47	1977.24	698.41	163.28	5995.9	1769.57	3874.05
ELAVL3	1995	0	0.58	0.83	0.48	0	0.48	0	0	0	0.93	0	0	0	0	0	0	4.58	4.24	2.53
AGAP6	119016	182.55	67.59	162.14	167.9	397.93	145.02	309.83	112.77	212.78	135.24	62.56	84.04	231.32	31	92.05	100.13	242.88	267.73	204.07
PDZRN3	23024	2701.35	2609.3	753.83	2682.69	1467.37	802.41	166.73	669.92	738.29	660.68	1225.22	525.39	753.83	476.71	3847.29	2287.2	514.56	379.04	698.41
CCDC70	83446	0.49	0.58	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0	0	0	0
SERPINF2	5345	42.11	111.99	124.37	11.21	115.16	199.85	309.83	209.84	206.94	118.43	267.73	215.77	97.36	70.01	78.89	113.56	476.71	41.81	66.65
TTC19	54902	1561.89	674.59	1313.23	1295.13	1023	878.17	1519.15	483.38	796.86	796.86	490.14	473.41	1175.27	954.43	518.15	457.25	698.41	507.46	1331.57
CCRN4L	25819	75.64	63.45	86.43	120.1	77.25	229.72	86.43	144.01	60.82	89.51	58.71	102.97	166.73	67.12	59.55	108.9	507.46	373.81	122.64
PCDHGA12	26025	59.97	96.68	69.03	130.6	150.17	21.94	21.78	59.97	32.82	37.05	157.68	49.21	43.63	53.57	51.71	18.43	241.19	98.73	108.9
THOC5	8563	511	435.55	480.04	748.61	848.22	543.96	934.76	703.28	454.09	417.77	529.06	1295.13	1208.34	651.58	497	607.87	713.11	420.68	414.87
ZNF675	171392	323.03	74.06	236.21	244.57	155.5	129.69	121.79	80.57	78.34	161.02	87.65	73.03	232.94	57.49	94.67	84.63	70.51	65.72	176.29
SV2A	9900	118.43	25.54	119.26	117.6	32.59	53.95	33.78	82.29	44.25	34.75	33.54	122.64	63.89	70.01	15.56	1.3	52.08	16.27	59.55
NAA50	80218	1111.82	2627.46	1572.76	1639.59	1059.11	2573.36	1159.07	1819.35	1832.01	2434.5	1819.35	1313.23	1794.29	684.02	3257.52	3540.14	1242.34	1617	1331.57
TMEM165	55858	981.29	1167.14	728.11	1159.07	1639.59	1369.04	1662.49	1417.35	1832.01	1407.55	884.29	988.12	1857.6	493.56	1199.98	1605.83	2997.45	1733.13	1088.92
CRISPLD1	83690	4066.71	305.55	4481.23	3372.43	836.53	1037.29	441.64	36.01	723.08	567.1	332.14	226.54	503.95	540.19	403.5	40.36	587.13	61.68	543.96
ZIC3	7547	0	0	0.72	0	0	3.11	0	0	0	87.65	0.72	0	0	0	0	0	0	0	0
THEMIS	387357	20.41	9.78	75.11	186.4	30.12	48.18	12.55	3.59	3.82	19.82	11.3	9.34	89.51	50.98	0.89	0.3	8.78	9.85	135.24
KRTAP19-5	337972	0	0	0	0	0	0	0	0	0	0	0	1.58	1.04	0	0	0	0	0	0
BANF1	8815	3639.7	3190.46	6164.49	4575.41	4181.07	1896.65	2935.74	1896.65	6983.79	3515.68	2047	5441.3	2609.3	15285.81	3716.2	1721.16	2303.12	3955.48	3665.02
DOK5	55816	132.44	47.5	743.43	497	66.18	57.49	156.59	38.67	41.52	15.22	54.33	101.54	50.27	246.28	37.59	148.09	108.14	13.42	249.73
WDR13	64743	1066.48	1477.58	1304.15	521.76	2004.85	2351.53	2303.12	1733.13	1870.53	1806.78	1340.84	2075.59	1529.73	2119.22	1685.71	1572.76	1477.58	1322.37	1008.9
KRTAP5-4	387267	0.82	0	0	0	2.07	1.68	0	0	0	0	0	1.11	0	0	0	0	0	0	0
MRPL21	219927	1127.35	1529.73	1208.34	1340.84	902.89	775.05	2047	1313.23	2090.03	1322.37	1757.34	1242.34	595.34	7081.29	1477.58	1088.92	854.13	1340.84	819.3
GLYATL3	389396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VSTM2L	128434	5.45	18.84	13.62	0.59	92.05	5.36	4.24	3.47	7.75	25.17	16.63	10.24	0.54	10.31	3.32	1.45	6.16	1.16	0.3
ACTR6	64431	1073.91	665.29	1151.06	1477.58	603.67	785.88	802.41	339.14	493.56	616.37	532.74	703.28	1008.9	1407.55	486.75	518.15	376.41	444.72	1051.79
HK3	3101	15	87.65	15.8	5.23	29.27	37.59	23.08	127	48.18	44.57	13.12	115.97	24.46	15	16.39	40.07	136.19	110.43	84.04
PRSS38	339501	0	0	0	0	0.6	0	0.61	0	0	0	0	0	0	1.77	0	0	0.66	0	0.43
DENND4A	10260	253.23	237.86	241.19	575.03	295.11	273.37	289.02	299.25	156.59	220.32	214.27	341.51	269.6	95.34	102.25	231.32	327.56	316.37	165.57
RGS20	8601	2.23	1.17	1.06	0	3.5	13.72	12.74	3.69	7.22	6.57	1.66	4.46	13.12	3	37.59	166.73	5.41	17	24.81
RUNDC3A	10900	6.52	3.5	41.81	8.19	5.96	21.47	92.05	0.8	5.28	9.93	4.58	7.69	9.27	27.05	2.2	0	26.86	0	41.52
NKX2-8	26257	7.22	1.69	2.03	1.57	6.62	8.13	4.28	0	14.89	0	1.55	3.47	1.07	12.18	0	0	5.59	0	0
PLEKHA8	84725	143.01	121.79	122.64	189.02	134.3	100.13	72.52	59.97	67.59	59.13	83.45	69.03	128.79	25.35	59.55	98.04	167.9	117.6	126.12
OR4B1	119765	0	0	0	0	0	0	0	1.68	0	0	0	0	0	0	0	0	0	0	0
LRRC3C	100505591	2.68	1.07	2.53	2.03	7.57	3.35	1.17	0	0	0	2.53	0	3.96	0	0	1.01	0.99	2.2	0
SELRC1	0	215.77	273.37	325.29	205.5	175.07	363.56	295.11	301.33	457.25	253.23	173.85	327.56	251.48	267.73	450.94	147.06	130.6	314.17	164.42
AC112715.2	0	7.94	21.78	3.32	17.9	21.01	0	14.35	2.61	32.59	5.96	12.45	6.16	4.17	0	0	2.36	16.63	7.34	0
CSNK2B-LY6G5B-1181	0	19.11	39.22	26.28	6.01	50.27	25.17	88.88	29.91	69.03	69.52	17.64	31.45	36.27	38.67	42.71	34.51	35.5	35	1.46
TSPAN19	144448	7.88	2.76	2.2	3.11	0.36	0.38	9.63	5.92	0.39	0	1.6	2.51	9.06	3.41	0	0	3.47	0.67	3.14
S1PR2	9294	169.07	138.1	59.13	42.41	148.09	98.04	67.12	164.42	155.5	82.29	156.59	55.49	146.03	224.97	107.38	22.26	158.79	94.01	44.89
RUNDC3B	154661	165.57	50.98	100.13	125.24	77.25	30.78	111.99	146.03	29.91	31.22	54.33	62.56	205.5	137.14	39.79	79.45	22.43	33.06	112.77
CTBP1	1487	1844.76	1745.2	2835.7	1096.5	2758.13	2148.82	1322.37	2032.85	2915.45	2720.15	1331.57	1561.89	1175.27	2303.12	3146.52	1388.16	1487.87	2271.4	1417.35
LGR6	59352	1059.11	42.41	1417.35	234.57	253.23	211.31	279.14	36.27	289.02	108.14	50.27	37.85	269.6	395.18	31.22	1.58	187.71	20.86	579.04
CDKL3	51265	162.14	123.5	99.43	417.77	75.64	90.14	189.02	33.78	92.05	63.89	64.8	42.41	178.77	125.24	131.51	83.45	49.91	42.41	72.52
TMC4	147798	1378.57	376.41	1331.57	343.89	1104.13	785.88	1159.07	175.07	819.3	595.34	297.17	417.77	947.83	954.43	429.54	34.51	460.44	81.71	642.59
ZNF404	342908	237.86	81.14	175.07	171.45	102.25	171.45	84.04	22.1	88.88	67.59	17.64	44.89	107.38	128.79	56.68	34.75	35.25	96.01	206.94
HMGXB4	10042	417.77	218.79	403.5	555.41	426.57	303.44	305.55	198.47	218.79	307.69	253.23	229.72	426.57	145.02	224.97	265.87	343.89	239.52	271.48
C5orf30	90355	177.53	713.11	376.41	269.6	253.23	819.3	348.71	183.82	253.23	511	150.17	170.25	236.21	149.12	1008.9	1199.98	256.78	309.83	493.56
RAB9A	9367	1331.57	981.29	764.36	1407.55	995	995	1208.34	848.22	890.44	656.11	1143.1	733.19	1508.65	1143.1	808	1023	967.76	395.18	791.35
CREBL2	1389	1135.2	2319.15	1088.92	4038.61	1304.15	1745.2	1936.53	1721.16	1023	1551.09	1417.35	1030.12	2335.28	796.86	1397.83	1529.73	947.83	1259.69	1551.09
ZNF573	126231	110.43	53.57	152.28	363.56	75.64	38.95	38.4	44.89	24.28	49.91	98.73	26.86	34.26	40.36	116.78	59.13	38.12	47.84	87.65
CTU1	90353	19.39	14.67	59.97	8.19	32.82	10.24	38.95	31.67	16.15	20.41	16.15	48.52	6.84	42.11	27.25	8.45	28.45	43.32	11.3
RP2	6102	177.53	248	178.77	307.69	150.17	236.21	223.41	249.73	143.01	100.83	228.13	191.67	221.86	209.84	172.65	320.8	140.04	199.85	244.57
RAX2	84839	1.64	0	0.92	0.54	0	0	0.73	0	0	1.75	0	1.1	1.08	1.27	1.19	0	1.11	0.73	0
POC5	134359	429.54	201.25	312	356.05	277.2	157.68	237.86	120.1	156.59	198.47	177.53	161.02	348.71	158.79	75.11	67.12	146.03	146.03	341.51
SLC26A11	284129	417.77	120.1	395.18	241.19	303.44	258.57	164.42	164.42	150.17	201.25	183.82	185.11	199.85	221.86	125.24	90.14	223.41	199.85	283.05
CTC-326K19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCOLCE	5118	2502.97	1477.58	2047	2573.36	4268.94	497	1508.65	896.64	3235.01	647.07	2400.97	1896.65	1359.57	1037.29	2956.17	915.51	3901.01	1477.58	1277.29
PCYT1B	9468	53.95	3.03	77.25	255	5.06	11.04	8	3.35	15.91	1.64	10	12.55	14.78	12.64	19.97	2.89	31	5.92	24.28
PNPLA7	375775	878.17	106.63	256.78	129.69	309.83	647.07	251.48	205.5	81.71	1151.06	182.55	86.43	346.29	124.37	144.01	63	111.99	205.5	547.75
HIGD1A	25994	1286.18	5791.62	1369.04	3081.75	3794.3	3395.89	3303	3820.7	4736.79	2758.13	4481.23	4268.94	2935.74	4869.99	4481.23	3768.09	3614.55	3614.55	2609.3
SIKE1	80143	389.72	825	389.72	323.03	283.05	457.25	358.54	660.68	518.15	406.31	303.44	532.74	417.77	819.3	769.69	583.07	231.32	551.56	651.58
C20orf173	140873	0	0.73	0	0	1.31	0	0	0	0	0	0	0	0	0	0.57	0	0	0	0
REM1	28954	50.63	50.27	20.41	26.67	51.35	28.04	8.38	82.87	76.71	36.01	109.66	120.94	50.27	53.95	78.34	39.5	63.89	85.22	95.34
TMX2	51075	1844.76	2682.69	1991	2976.74	2163.77	1721.16	2664.15	1685.71	3212.66	1977.24	1242.34	3443.31	2224.63	2682.69	2895.31	1605.83	1175.27	2384.37	2627.46
SELM	0	2502.97	1199.98	3395.89	2090.03	3928.15	2384.37	11345.82	2335.28	4802.93	2591.27	12502.12	5995.9	3018.3	21919.61	426.57	651.58	10084.54	3982.99	2591.27
FXYD6	53826	2537.92	392.44	2434.5	3124.78	988.12	796.86	620.67	529.06	483.38	559.28	1923.14	511	287.01	3928.15	279.14	612.11	954.43	571.05	1540.37
AC009060.1	0	0	0.95	0.65	2.2	2.36	1.23	2.97	2.18	1.71	0	0	0	0.04	1.1	0	0	2.71	1.95	0
BLOC1S3	388552	214.27	199.85	201.25	167.9	241.19	171.45	316.37	189.02	101.54	190.34	167.9	251.48	208.38	234.57	94.01	164.42	144.01	183.82	155.5
ZP1	22917	1.1	36.27	0.36	3.5	7.88	17.25	3.29	0.67	6.26	24.63	5.45	14.35	0.8	4.5	45.85	24.99	1.71	7.11	41.22
TIMM10B	26515	0	0	3.72	0	4.58	6.67	4.74	4.78	3.32	3.14	0	6.16	0	6.62	7.82	0	5.5	1.97	9.06
MIA2	117153	6.36	0	3.96	13.93	3.82	6.26	1.51	0	0	0	0	2.81	0	0	0	0	0	0	1.55
MAPK4	5596	43.02	22.59	36.01	159.9	17.64	106.63	71.5	0.21	31.67	16.03	255	16.75	33.3	18.7	5.41	0.28	41.22	0.58	21.01
ARNTL	406	223.41	490.14	146.03	190.34	309.83	392.44	249.73	269.6	223.41	406.31	406.31	226.54	420.68	153.34	384.34	157.68	172.65	144.01	180.02
TCL1A	8115	45.85	0	90.77	0	0	0	6.62	26.86	0	113.56	15.56	7	0	0	0	0	0	0	0
TGIF2LX	90316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA35	60560	466.88	289.02	518.15	638.15	435.55	397.93	314.17	223.41	145.02	297.17	320.8	260.38	412	239.52	206.94	301.33	287.01	164.42	289.02
ZC3H12A	80149	571.05	84.63	435.55	90.14	273.37	135.24	301.33	112.77	172.65	193.01	167.9	82.29	358.54	273.37	103.69	54.33	674.59	129.69	234.57
PPCDC	60490	327.56	255	387.02	301.33	343.89	186.4	381.68	169.07	353.59	229.72	105.15	423.61	149.12	921.88	147.06	140.04	269.6	221.86	426.57
MYL1	4632	2.05	1.45	0.74	0.31	0	1.41	0.99	0	0	0	0.61	7.94	0.62	0	1.31	4.31	1.64	1.46	1.83
AKR1A1	10327	3039.3	2997.45	3820.7	2758.13	3794.3	2701.35	2720.15	2384.37	4268.94	1923.14	1819.35	3564.78	2720.15	5872.48	2255.7	2004.85	1950	2287.2	3018.3
SULT1C2	6819	30.34	1.23	19.97	13.42	7.88	8.65	3.17	0.84	3.96	1.99	66.65	11.21	1.81	8.99	14.03	39.79	0.09	3.44	19.11
FAM214B	80256	202.66	444.72	191.67	199.85	275.28	260.38	220.32	406.31	267.73	303.44	314.17	253.23	186.4	107.38	438.59	444.72	212.78	358.54	301.33
ANKRD29	147463	583.07	236.21	202.66	848.22	166.73	90.77	144.01	343.89	83.45	283.05	301.33	133.36	170.25	161.02	412	848.22	202.66	320.8	1268.46
GIPC1	10755	1111.82	1250.98	1023	253.23	1322.37	1498.22	1259.69	1119.56	2119.22	1781.89	718.08	872.1	551.56	1617	1540.37	890.44	878.17	1322.37	819.3
GAS2L1	10634	450.94	669.92	551.56	109.66	507.46	684.02	285.03	796.86	974.5	547.75	323.03	575.03	295.11	860.08	890.44	532.74	299.25	476.71	305.55
CXorf57	55086	134.3	21.63	95.34	224.97	21.32	34.02	117.6	36.79	12.36	6.41	42.41	9.34	60.39	60.39	0.49	3.29	29.27	22.59	93.35
AK2	204	2645.74	3124.78	3235.01	2645.74	2520.38	3419.52	2351.53	1963.57	3325.99	2555.58	1457.23	3768.09	2004.85	4268.94	5751.61	3303	3419.52	2367.9	2090.03
SMIM12	113444	441.64	708.18	579.04	647.07	607.87	718.08	743.43	1183.45	1073.91	769.69	836.53	1104.13	551.56	921.88	1001.93	1008.9	1044.52	1191.69	723.08
MFAP2	4237	400.71	253.23	241.19	974.5	1322.37	77.25	500.46	483.38	303.44	133.36	2004.85	387.02	775.05	497	144.01	22.26	967.76	633.73	156.59
CLCA1	1179	0.05	0	0.17	0	0	0	0.46	0.39	0	0.41	0.17	0.39	0	0.57	0.33	0.77	0	0.72	0
MAMDC2	256691	629.35	1096.5	389.72	669.92	348.71	412	961.07	476.71	269.6	171.45	6652.97	339.14	825	334.46	108.9	48.18	974.5	46.5	518.15
RBM48	84060	540.19	277.2	444.72	476.71	289.02	409.15	309.83	253.23	197.09	264.03	236.21	320.8	432.53	251.48	195.72	301.33	143.01	153.34	395.18
DNAJB5	25822	79.45	81.14	77.25	356.05	177.53	94.67	113.56	149.12	211.31	149.12	629.35	202.66	165.57	73.03	120.94	125.24	343.89	223.41	224.97
SKOR2	652991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM133B	257415	718.08	417.77	633.73	796.86	555.41	470.14	503.95	323.03	373.81	417.77	409.15	409.15	718.08	486.75	387.02	325.29	373.81	392.44	733.19
KRT24	192666	4.86	0	0	0	10.71	0	1.16	0	0	1.36	2.2	0	0	0	0	1.33	1.79	1.17	0
VPS37A	137492	493.56	665.29	759.08	825	466.88	376.41	693.58	571.05	656.11	591.22	796.86	543.96	579.04	497	728.11	718.08	1397.83	769.69	480.04
